    PID TTY          TIME CMD
   2025 ?        00:00:00 evolution-alarm
   2067 ?        00:00:00 goa-daemon
   2096 ?        00:00:00 goa-identity-se
   2098 ?        00:00:00 gvfs-mtp-volume
   2110 ?        00:00:00 gvfs-gphoto2-vo
   2122 ?        00:00:03 ibus-engine-sim
   2174 ?        00:00:00 dconf-service
   2180 ?        00:00:00 evolution-calen
   2197 ?        00:00:00 gvfsd-trash
   2198 ?        00:00:00 evolution-addre
   2249 ?        00:00:00 xdg-desktop-por
   2273 ?        00:00:02 tracker-miner-f
   2274 ?        00:00:00 xdg-desktop-por
   2277 ?        00:00:00 gjs
   2325 ?        00:00:00 gvfsd-metadata
   2326 ?        00:00:00 xdg-desktop-por
   2441 ?        00:00:00 gvfsd-recent
   2453 ?        00:00:41 gnome-terminal-
   2460 pts/0    00:00:01 bash
   2466 ?        00:00:00 update-notifier
   2621 ?        00:00:00 fwupd
   2635 ?        00:00:00 kworker/1:0H-kblockd
   2927 ?        00:00:02 gjs
   3347 ?        00:00:01 kworker/u8:2-flush-8:0
   3429 ?        00:00:00 kworker/0:2H
   3618 ?        00:00:00 kworker/u9:0-ttm
   3620 ?        00:00:00 sh
   3621 ?        00:00:00 gvfsd-admin
   3659 ?        00:00:00 gvfsd-network
   3706 ?        00:00:00 gvfsd-dnssd
   3746 ?        00:00:00 kworker/0:0-events
   3914 ?        00:00:00 kworker/u8:0-events_unbound
   3999 ?        00:00:00 kworker/1:2-events
   4016 ?        00:00:00 kworker/u8:3-events_power_efficient
   4049 ?        00:00:00 kworker/0:2-cgroup_destroy
   4089 ?        00:00:04 nautilus
   4111 ?        00:00:00 kworker/1:2H-radeon-crtc
   4129 ?        00:00:00 kworker/0:1
   4130 ?        00:00:00 kworker/u8:1-events_power_efficient
   4131 ?        00:00:00 kworker/1:0
   4142 pts/0    00:00:00 ps
